"","V1","V2","V3","V4"
"47774",1,0.680019115575783,0.680019115575783,1
"47775",1,0.680019115575783,0.680019115575783,1
"47776",1,0.417228938251072,0.417228938251072,1
"47777",1,0.417228938251072,0.417228938251072,1
"47778",1,0.417228938251072,0.417228938251072,1
"47779",1,-0.444337136313321,-0.444337136313321,1
"47780",1,-0.444337136313321,-0.444337136313321,1
"47781",1,0.234882873531738,0.234882873531738,1
"47782",1,0.234882873531738,0.234882873531738,1
"47783",1,0.234882873531738,0.234882873531738,1
"47784",1,0.234882873531738,0.234882873531738,1
"47785",1,-0.556349697589373,-0.556349697589373,1
"47786",1,-0.556349697589373,-0.556349697589373,1
"47787",1,-0.0602601408438518,-0.0602601408438518,1
"47788",1,-0.0602601408438518,-0.0602601408438518,1
"47789",1,0.236293300117424,0.236293300117424,1
"47790",1,0.236293300117424,0.236293300117424,1
"47791",1,0.236293300117424,0.236293300117424,1
"47792",1,0.236293300117424,0.236293300117424,1
"47793",1,0.236293300117424,0.236293300117424,1
"47794",1,0.236293300117424,0.236293300117424,1
"47795",1,0.236293300117424,0.236293300117424,1
"47796",1,0.236293300117424,0.236293300117424,1
"47797",1,0.236293300117424,0.236293300117424,1
"47798",1,0.236293300117424,0.236293300117424,1
"47799",1,0.236293300117424,0.236293300117424,1
"47800",1,0.236293300117424,0.236293300117424,1
"47801",1,0.236293300117424,0.236293300117424,1
"47802",1,0.236293300117424,0.236293300117424,1
"47803",1,0.236293300117424,0.236293300117424,1
"47804",1,0.236293300117424,0.236293300117424,1
"47805",1,0.498850200035255,0.498850200035255,1
"47806",1,0.498850200035255,0.498850200035255,1
"47807",1,0.498850200035255,0.498850200035255,1
"47808",1,0.498850200035255,0.498850200035255,1
"47809",1,0.498850200035255,0.498850200035255,1
"47810",1,0.498850200035255,0.498850200035255,1
"47811",1,0.498850200035255,0.498850200035255,1
"47812",1,0.398456446942958,0.398456446942958,1
"47813",1,0.398456446942958,0.398456446942958,1
"47814",1,0.398456446942958,0.398456446942958,1
"47815",1,0.398456446942958,0.398456446942958,1
"47816",1,0.398456446942958,0.398456446942958,1
"47817",1,0.398456446942958,0.398456446942958,1
"47818",1,0.059011585220869,0.059011585220869,1
"47819",1,0.059011585220869,0.059011585220869,1
"47820",1,0.059011585220869,0.059011585220869,1
"47821",1,0.059011585220869,0.059011585220869,1
"47822",1,0.951453488735616,0.951453488735616,1
"47823",1,-0.310689509449608,-0.310689509449608,1
"47824",1,-0.310689509449608,-0.310689509449608,1
"47825",1,0.315748149001014,0.315748149001014,1
"47826",1,0.315748149001014,0.315748149001014,1
"47827",1,0.315748149001014,0.315748149001014,1
"47828",1,-0.0684893439691465,-0.0684893439691465,1
"47829",1,-0.264911043818037,-0.264911043818037,1
"47830",1,-0.279183578729393,-0.279183578729393,1
"47831",1,0.391730816082682,0.391730816082682,1
"47832",1,0.391730816082682,0.391730816082682,1
"47833",1,0.391730816082682,0.391730816082682,1
"47834",1,0.212207968151599,0.212207968151599,1
"47835",1,0.212207968151599,0.212207968151599,1
"47836",1,0.212207968151599,0.212207968151599,1
"47837",1,-0.568291715372659,-0.568291715372659,1
"47838",1,0.252443340396602,0.252443340396602,1
"47839",1,0.252443340396602,0.252443340396602,1
"47840",1,0.252443340396602,0.252443340396602,1
"47841",1,0.651331056127433,0.651331056127433,1
"47842",1,0.651331056127433,0.651331056127433,1
"47843",1,0.651331056127433,0.651331056127433,1
"47844",1,0.32698814480688,0.32698814480688,1
"47845",1,0.22716772891037,0.22716772891037,1
"47846",1,0.22716772891037,0.22716772891037,1
"47847",1,0.424689170726622,0.424689170726622,1
"47848",1,0.424689170726622,0.424689170726622,1
"47849",1,0.424689170726622,0.424689170726622,1
"47850",1,0.424689170726622,0.424689170726622,1
"47851",1,0.424689170726622,0.424689170726622,1
"47852",1,-0.0787819422706468,-0.0787819422706468,1
"47853",1,-0.0787819422706468,-0.0787819422706468,1
"47854",1,-0.0787819422706468,-0.0787819422706468,1
"47855",1,-0.0787819422706468,-0.0787819422706468,1
"47856",1,-0.0787819422706468,-0.0787819422706468,1
"47857",1,-0.0787819422706468,-0.0787819422706468,1
"47858",1,-0.315043984841158,-0.315043984841158,1
"47859",1,-0.315043984841158,-0.315043984841158,1
"47860",1,-0.315043984841158,-0.315043984841158,1
"47861",1,-0.315043984841158,-0.315043984841158,1
"47862",1,-0.315043984841158,-0.315043984841158,1
"47863",1,-0.315043984841158,-0.315043984841158,1
"47864",1,-0.315043984841158,-0.315043984841158,1
"47865",1,-0.327697569198163,-0.327697569198163,1
"47866",1,-0.327697569198163,-0.327697569198163,1
"47867",1,-0.327697569198163,-0.327697569198163,1
"47868",1,-0.327697569198163,-0.327697569198163,1
"47869",1,-0.327697569198163,-0.327697569198163,1
"47870",1,-0.327697569198163,-0.327697569198163,1
"47871",1,-0.327697569198163,-0.327697569198163,1
"47872",1,-0.327697569198163,-0.327697569198163,1
"47873",1,-0.327697569198163,-0.327697569198163,1
"47874",1,-0.327697569198163,-0.327697569198163,1
"47875",1,-0.327697569198163,-0.327697569198163,1
"47876",1,-0.0502295283498062,-0.0502295283498062,1
"47877",1,-0.0502295283498062,-0.0502295283498062,1
"47878",1,-0.0502295283498062,-0.0502295283498062,1
"47879",1,-0.0502295283498062,-0.0502295283498062,1
"47880",1,-0.0502295283498062,-0.0502295283498062,1
"47881",1,-0.0502295283498062,-0.0502295283498062,1
"47882",1,-0.0502295283498062,-0.0502295283498062,1
"47883",1,-0.0502295283498062,-0.0502295283498062,1
"47884",1,-0.0502295283498062,-0.0502295283498062,1
"47885",1,-0.0502295283498062,-0.0502295283498062,1
"47886",1,-0.0502295283498062,-0.0502295283498062,1
"47887",1,-0.0502295283498062,-0.0502295283498062,1
"47888",1,-0.0502295283498062,-0.0502295283498062,1
"47889",1,0.0226142947736745,0.0226142947736745,1
"47890",1,0.0226142947736745,0.0226142947736745,1
"47891",1,0.0226142947736745,0.0226142947736745,1
"47892",1,0.275604508204651,0.275604508204651,1
"47893",1,0.235194323761007,0.235194323761007,1
"47894",1,0.235194323761007,0.235194323761007,1
"47895",1,0.235194323761007,0.235194323761007,1
"47896",1,-0.0264686824399892,-0.0264686824399892,1
"47897",1,-0.0264686824399892,-0.0264686824399892,1
"47898",1,-0.0264686824399892,-0.0264686824399892,1
